menuid,カテゴリ,img,アイコン,タイトル,Map,HP,OTA
1,妻籠,tsumago-trail-magome.jpg,trail,馬籠峠,https://maps.app.goo.gl/nKSWPkB9EFe229rcA,,
2,妻籠,tsumago-cafe-kojitsu.jpg,cafe,好日珈琲,https://maps.app.goo.gl/qdLkEfSfSPmrQJxz6,,
3,妻籠,tsumago-hotel-hanaya.jpg,hotel,波奈屋,https://maps.app.goo.gl/fmnfEy9ZpkKycQDw7,,
4,妻籠,tsumago-restaurant-fujioto.jpg,restaurant,藤乙,https://maps.app.goo.gl/AGxKyN3GjCng7Ded8,,
5,妻籠,tsumago-restaurant-otokichi.jpg,restaurant,御食事処 音吉,https://maps.app.goo.gl/2Y2V7hnPtNZsDHsA9,,
6,妻籠,tsumago-street-tsumago.jpg,street,妻籠宿,https://maps.app.goo.gl/7Nr6oxSzKXGCGBUw8,,
7,蘭,araragi-trail-mtnagiso.jpg,trail,南木曽岳,https://maps.app.goo.gl/zG6yiHrTWBzPeXcA7,,
8,蘭,araragi-hotel-taoya.jpg,hotel,TAOYA木曽路,https://maps.app.goo.gl/cwHGotxurgdwB1kg7,,
9,蘭,araragi-lunch-mannya.jpg,lunch,萬屋（予約制）,https://maps.app.goo.gl/fpo9XJ2UWjoPjW92A,,
10,田立,tadachi-fishing-takahashigorge.jpg,fishing,高橋渓流,https://maps.app.goo.gl/eZEC1B3i3RqkyFUy5,,
11,田立,tadachi-hotel-okaniwa,hotel,丘庭,https://maps.app.goo.gl/HJ1tBDZtb8xiaSRV8,,
12,田立,tadachi-train-tadachi.jpg,train,田立駅,https://maps.app.goo.gl/en6FB8uHcMZyELbt5,,
13,南木曽,nagiso-bridge-momosuke.jpg,bridge,桃介橋,https://maps.app.goo.gl/hvzCffr9rDTZUkZeA,,
14,南木曽,nagiso-cafe-ame.jpg,cafe,雨 中山道(カフェ),https://maps.app.goo.gl/WZi6gUnMrX1ugEUG6,,
15,南木曽,nagiso-cafe-izumiya.jpg,cafe,Izumiya,https://maps.app.goo.gl/k6EAeWvWeH65tXVr7,,
16,南木曽,nagiso-cafe-momosuketei.jpg,cafe,桃介亭,https://maps.app.goo.gl/zFF6SANKKWToeaeV9,,
17,南木曽,nagiso-cyclestreet-batokannon.jpg,cyclestreet,馬頭観音(サイクルコース),https://maps.app.goo.gl/JjQsoDMvZrCkdbT26,,
18,南木曽,nagiso-cyclestreet-route19.jpg,cyclestreet,19号側道(サイクルコース),https://maps.app.goo.gl/VqyM7QPrAqtiwwdE6,,
19,南木曽,nagiso-free_e_bike-hashimotoya.jpg,free_e_bike,橋本屋（無料Ebikeステーション）,https://maps.app.goo.gl/a2fDxn2iHbKiMZqw9,,
20,南木曽,nagiso-goods-kosaten.jpg,goods,交叉点,https://maps.app.goo.gl/tcw8Gx5zckC79WPr7,,
21,南木曽,nagiso-hotel-ame.jpg,hotel,雨 中山道(宿),https://maps.app.goo.gl/WZi6gUnMrX1ugEUG6,https://ame-nakasendo-nagiso.studio.site/,
22,南木曽,nagiso-hotel-kashiwaya.jpg,hotel,kashiwaya Inn,https://maps.app.goo.gl/Cgr3i94ju3NQCjubA,https://kashiwaya-lp.vercel.app/,https://www.booking.com/hotel/jp/kashiwaya-inn.ja.html?aid=311984&label=kashiwaya-inn-p3_Ogz85Wi0%2AacVS7oEtXwS782247744652%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-2382347442848%3Akwd-301899102648%3Alp9173440%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YbSsBl3MCvHsD8UKUHIRFxY&sid=191a6adb2a3ef50f28b1db7f58acf27b&checkin=2025-12-18&checkout=2025-12-19&dest_id=900053828&dest_type=city&dist=0&group_adults=1&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1765969460&srpvid=03c404c58d63bf933e56eb61ddeebedd&type=total&ucfs=1&#no_availability_msg
23,南木曽,nagiso-hotel-mountainn.jpg,hotel,Mountainn,https://maps.app.goo.gl/oEzbtPVtukT1zsF18,,
24,南木曽,nagiso-hotel-tsumugitei.jpg,hotel,tsumugi tei,https://maps.app.goo.gl/nYKWu92sRcQJGtEn7,,
25,南木曽,nagiso-hotel-yamo.jpg,hotel,YAMO,https://maps.app.goo.gl/ty79pAzpAhiw7sP6A,,
26,南木曽,nagiso-lunch-fukusuke.jpg,lunch,ふくすけ,https://maps.app.goo.gl/a1uYtvPR5iAE3iYV9,,
27,南木曽,nagiso-museum-woodhistory.jpg,museum,山の歴史館,https://maps.app.goo.gl/tRNbK4mJL2M7cMdx6,,
28,南木曽,nagiso-restaurant-azumaya.jpg,restaurant,AZUMAYA,https://maps.app.goo.gl/aVPYmohiSdfbczyHA,,
29,南木曽,nagiso-restaurant-pierrot.jpg,restaurant,ピエロ,https://maps.app.goo.gl/2g7N6QXA7VSMbVzz6,,
30,南木曽,nagiso-street-agatsuma.jpg,street,中山道(吾妻),https://maps.app.goo.gl/iQfvicpnEc9nnZNq7,,
31,南木曽,nagiso-street-midono.jpg,street,三留野宿,https://maps.app.goo.gl/k25ftVMD3UeKkSzB7,,
32,与川,yogawa-camp-ties.jpg,camp,ties,https://maps.app.goo.gl/4Go5AF253Bq6EgoQ6,,
33,与川,yogawa-hotel-yuian.jpg,hotel,結い庵,https://maps.app.goo.gl/FqCTwZ4fQXcmbwD49,,
34,与川,yogawa-trail-nenoue.jpg,trail,根の上峠,https://maps.app.goo.gl/E5jdcdvMb8Ht7dAe7,,
35,与川,yogawa-trail-yogawa.jpg,trail,与川道,https://maps.app.goo.gl/ybEW1VD71LnNHLz66,,
36,柿其,kakizore-bridge-koiji.jpg,bridge,恋路のつり橋,https://maps.app.goo.gl/Pe7AcCoFKwKGaHyo6,,
37,柿其,kakizore-gorge-kakizoreemerald.jpg,gorge,柿其黒淵,https://maps.app.goo.gl/BKxD1jrCZEpXTpq69,,
38,柿其,kakizore-hotel-hoteiya.jpg,hotel,ほていや,https://maps.app.goo.gl/McGi219MuUuSPp9fA,,
39,柿其,kakizore-peak-koiji.jpg,peak,恋路峠 展望台,https://maps.app.goo.gl/C71p624ZKhwEz8V57,,
40,柿其,kakizore-rest-kikori.jpg,rest,きこりの家,https://maps.app.goo.gl/iBcHnxVjtdB8pyDw7,,
41,阿寺,atera-gorge-aterasapphire.jpg,gorge,阿寺狸ヶ淵,https://maps.app.goo.gl/4rS7F6sLWBZMoZfj6,,
42,阿寺,atera-hotel-ateraso.jpg,hotel,あてら荘（ホテル）,https://maps.app.goo.gl/dqFHfErwcjy284iT8,,
43,阿寺,atera-lunch-inaho.jpg,lunch,いなほ,https://maps.app.goo.gl/YsxCMvpJEyZntNZG8,,
44,阿寺,atera-onsen-ateraso.jpg,onsen,あてら荘（温泉）,https://maps.app.goo.gl/dqFHfErwcjy284iT8,,
45,阿寺,atera-free_e_bike-ateraso.jpg,free_e_bike,あてら荘（無料Ebikeステーション）,https://maps.app.goo.gl/dqFHfErwcjy284iT8,,
46,野尻,nojiri-cafe-donguri.jpg,cafe,どんぐり,https://maps.app.goo.gl/yHVv9JD4TwzEKmZy6,,
47,野尻,nojiri-cafe-katana.jpg,cafe,珈琲 刀,https://maps.app.goo.gl/KKvrKp5P967o1PiS6,,
48,野尻,nojiri-street-nojiri.jpg,street,野尻宿,https://maps.app.goo.gl/MfLAnnAUt8hs6qse9,,
49,野尻,nojiri-train-nojiri.jpg,train,野尻駅,https://maps.app.goo.gl/ZLq1ptL9af5nhNEYA,,
50,須原,suhara-street-suhara.jpg,street,須原宿,https://maps.app.goo.gl/e4ZQtSaETZ7upAYeA,,
51,須原,suhara-train-suhara.jpg,train,須原駅,https://maps.app.goo.gl/CDvfcPEXm4iKZxTE9,,
52,須原,suhara-dinner-honjin.jpg,dinner,本陣,https://maps.app.goo.gl/pvAYnLibkfuU1Xig6,,
53,須原,suhara-hotel-minshukusuhara.jpg,hotel,民宿すはら,https://maps.app.goo.gl/3zTiqym1T7zY9L4x7,,
54,全域,all-tourguide-nick.jpg,tourguide,ニックカール(ツアーガイド),,,
55,全域,all-tourguide-mike.jpg,tourguide,マイケルキング(ツアーガイド),,https://reallyruraljapan.com/,
56,全域,all-taxi-nagiso.jpg,taxi,南木曽タクシー(タクシー),,https://kantaku.her.jp/wp/,
57,全域,all-baggage-nlts.jpg,baggage,NLTS(荷物運び),,https://magome-transport.bitter.jp/,
58,全域,all-baggage-walklite.jpg,baggage,WalkLite(荷物運び),,https://qr.quel.jp/om/gh3jm7,
59,南木曽,nagiso-spot-tokakuji.jpg,spot,日星山等覚寺,https://maps.app.goo.gl/DMRyRjBV8rDH9u3g9,,
60,南木曽,nagiso-train-nagiso.jpg,train,南木曽駅,https://maps.app.goo.gl/x3fDLYAQ6mJB9YYY9,,
61,蘭,araragi-bus-araragi.jpg,bus,あららぎ駅（バス）,https://maps.app.goo.gl/6oQLAt6KW5igM95A7,,
62,蘭,araragi-hotel-takimi.jpg,hotel,滝見の家,https://maps.app.goo.gl/dFTdj3u6yxsfLuXg8,,
63,蘭,araragi-hotel-fukinomori.jpg,hotel,富貴の森,https://maps.app.goo.gl/2yQhF8Cngd3z4kC19,,
64,妻籠,tsumago-bus-tsumago.jpg,bus,妻籠駅（バス）,https://maps.app.goo.gl/1aQCyFL8wociYeph7,,
